akt.citace;kategorie;akt.název.vyhlášený;status;komentář
311/1948 Sb.;znarodnění;Zákon o národních dopravních podnicích;obsoletní;Po únoru 1948 začíná docházet ke znárodňování a vyvlastňování dopravních podniků. Základem této tzv. druhé vlny znárodnění byla Ústava 9. května. Analyzovaný zákon se stal podkladem pro následný vznik a rozvoj národních podniků, jakým byla např. ČSAD. Dle důvodové zprávy byla počáteční roztříštěnost dopravních agend před r. 1938 překlenuta za pomoci vládního nařízení z doby nesvobody, tj. VN č. 14/1942 Sb., ovšem otázka dopravy byla v rámci gesce několika ministerstev. Po přijetí zákona o silniční dopravě (č. 111/1994 Sb.) dochází k příchodu soukromých a nestátních dopravců. Předpis je obsoletní, ovšem před případným návrhem na zrušení předpisu je třeba zvážit veškerá související kulturně-historická hlediska.
364/2000 Sb.;zrušené instituce;Zákon o zrušení Fondu dětí a mládeže a o změnách některých zákonů;platný;Posuzovaným předpisem byl primárně zrušen Fond dětí a mládeže a byla nařízena jeho likvidace. Dle výpisu z obchodního rejstřiku byl Fond v roce 2005 vymazán z obchodního rejstříku na základě článku I. odst. 11 posuzovaného předpisu  a práva a povinnosti včetně nedokončených soudních sporů přešly na Českou republiku. V části první, druhé a páté, které jsou spjaty s rušením Fondu, resp. změnou či rušením právních předpisů souvisejících s rušením Fondu, je posuzovaný předpis obsoletní, neboť výmazem z obchodního rejstříku došlo k zániku Fondu. Část čtvrtá novelizující zákon č. 357/1992 Sb., o dani dědické, dani darovací a dani z převodu nemovitostí byla výslovně zrušena článkem LXIV bod 20 zákonného opatření č. 344/2013 Sb., o změně daňových zákonů v souvislosti s rekodifikací soukromého práva a o změně některých zákonů. Část třetí posuzovaného předpisu novelizuje zákon č. 220/2000 Sb., o změnách některých zákonů v souvislosti s přijetím zákona o majetku České republiky a jejím vystupování v právních vztazích, který je stále platný a účinný, a proto je třeba za platný a účinný považovat i posuzovaný předpis.
290/2009 Sb.;zrušené instituce;Zákon o zrušení Zajišťovacího fondu družstevních záložen;platný;Na základě posuzovaného zákona byl ke dni 31.12.2010  zrušen bez likvidace Zajišťovací fond družstevních záložen, přičemž do všech jeho práv a povinnosti vstoupil stát, který rovněž na základě posuzovaného předpisu nabyl majetek Fondu, jakož i vstoupil do pracovněprávních vztahů. Dle ustanovení § 2 se ve všech řízeních, kterým byl Fond účastníkem, stal ke dni 1..1.2011 stát. S ohledem na skutečnost, že nelze s jistotou prohlásit, že všechna tato řízení, jakož i případné smluvní vztahy Fondu, do nichž vstoupil stát byly ukončeny, je třeba na posuzovaný předpis považovat nadále za platný a účinný.
131/1945 Sb.;zřízení vysokých škol, nemocnic, kulturních institucí;Dekret presidenta republiky o vybudování Akademického domu - Památníku 17. listopadu;NA;NA
375/1992 Sb.;zřízení vysokých škol, nemocnic, kulturních institucí;Zákon České národní rady o změně názvu Vysoké školy veterinární v Brně a o změně postavení a názvu Pedagogické fakulty v Hradci Králové;obsoletní;Předmětem úpravy je změna názvu vysoké školy, který již není aktuální (v současnosti škola uvedená v § 1 funguje pod názvem Veterinární univerzita Brno) a změna názvu a postavení školy, která v současnosti funguje opět jako fakulta Univerzity Hradec Králové. Nejedná se tedy o kreační akt současné vysoké školy ani jeho změnu, ale o předpis organizační povahy. Předpis je tedy vyhaslý.
26/1993 Sb.;zřízení vysokých škol, nemocnic, kulturních institucí;Zákon České národní rady, kterým se mění a doplňují některé zákony v oblasti vnitřního pořádku a bezpečnosti, a o opatřeních s tím souvisejících;platný;Články II až IV a článek VII byly zrušeny z. č. 362/2003 Sb., čl. XXIX, čl. I byl zrušen z. č. 274/2008 Sb., čl. XLII., čl. VI byl zrušen zákonem č. 111/1998 Sb., § 108 bod 4. Zbyl tedy čl. V, čl. VIII a čl. IX. Čl. VIII je zrušovací, tedy tuto část předpisu lze považovat za obsoletní a čl. IX pouze upravuje počátek účinnosti, nicméně čl. V zřizuje Policejní akademii, tedy stále existující subjekt, a proto je analyzovaný předpis jako celek stále platný.
404/2000 Sb.;zřízení vysokých škol, nemocnic, kulturních institucí;Zákon o zřízení Univerzity Tomáše Bati ve Zlíně;platný;Předpisem se zřizuje stále existující vysoká škola. Předpis nebyl zrušen ani nahrazen pozdější právní úpravou a je platnou součástí právního řádu  s účinky na právní vztahy.
214/2004 Sb.;zřízení vysokých škol, nemocnic, kulturních institucí;Zákon o zřízení Univerzity obrany;platný;Posuzovaný právní předpis je stále platný a účinný, zřizuje existující vysokou školu.
375/2004 Sb.;zřízení vysokých škol, nemocnic, kulturních institucí;Zákon o zřízení Vysoké školy polytechnické Jihlava;platný;Na základě posuzovaného předpisu byla zřízena Vysoká škola polytechnická Jihlava, která existuje i v současné době. Předpis je tedy stále platnou a účinnou součásí právního řádu.
162/2006 Sb.;zřízení vysokých škol, nemocnic, kulturních institucí;Zákon o zřízení Vysoké školy technické a ekonomické v Českých Budějovicích;platný;Jedná se o platný a účinný kreační akt existující vysoké školy.
